worker_id,department,location,order_detail,shift,season,detailed_order,office_location,assigned_starbucks,adjusted_order_time,adjusted_pickup_time,prep_time_minutes,time_slot,expected_wait_time_minutes
13,Sales,Starbucks_2,Cappuccino - Oat Milk Medium,Evening,Fall,Small - Regular - No Sugar - None,Office_A,Starbucks_2,08-03-2025 17:37,08-03-2025 17:50,3,Late Afternoon (2:00 PM - 4:00 PM),5
14,Operations,Starbucks_1,Iced Coffee - Small Large,Morning,Fall,Small - Almond Milk - Sweetener - Flavored Syrup,Office_C,Starbucks_2,08-03-2025 08:15,08-03-2025 08:26,7,Morning Rush (8:00 AM - 10:00 AM),9
15,HR,Starbucks_1,Tea - Regular Medium,Morning,Spring,Large - Regular - Sweetener - None,Office_A,Starbucks_3,08-03-2025 08:07,08-03-2025 08:14,4,Morning Rush (8:00 AM - 10:00 AM),5
16,Sales,Starbucks_3,Tea - Regular Large,Afternoon,Winter,Large - Soy Milk - Extra Sweetener - Flavored Syrup,Office_B,Starbucks_3,08-03-2025 13:28,08-03-2025 13:41,6,Afternoon (12:00 PM - 2:00 PM),8
17,Finance,Starbucks_2,Cappuccino - No Sugar Almond Milk,Morning,Summer,Large - Almond Milk - Extra Sweetener - Extra Shot,Office_A,Starbucks_2,08-03-2025 09:48,08-03-2025 10:00,7,Morning Rush (8:00 AM - 10:00 AM),9
18,Operations,Starbucks_1,Iced Coffee - Medium Oat Milk,Evening,Winter,Small - Oat Milk - Sweetener - Flavored Syrup,Office_B,Starbucks_2,08-03-2025 16:39,08-03-2025 16:47,7,Late Afternoon (2:00 PM - 4:00 PM),9
19,Marketing,Starbucks_3,Latte - Oat Milk Medium,Afternoon,Summer,Medium - Regular - Regular Sugar - None,Office_E,Starbucks_2,08-03-2025 12:09,08-03-2025 12:24,5,Afternoon (12:00 PM - 2:00 PM),6
20,HR,Starbucks_3,Cappuccino - Small Soy Milk,Morning,Summer,Medium - Almond Milk - No Sugar - None,Office_B,Starbucks_2,08-03-2025 09:58,08-03-2025 10:09,5,Morning Rush (8:00 AM - 10:00 AM),7
21,Finance,Starbucks_2,Iced Coffee - Soy Milk Almond Milk,Morning,Summer,Small - Regular - No Sugar - Extra Shot,Office_C,Starbucks_1,08-03-2025 08:59,08-03-2025 09:18,6,Morning Rush (8:00 AM - 10:00 AM),7
22,Finance,Starbucks_1,Iced Coffee - Soy Milk Small,Afternoon,Spring,Small - Oat Milk - Extra Sweetener - Extra Shot,Office_A,Starbucks_3,08-03-2025 13:12,08-03-2025 13:18,6,Afternoon (12:00 PM - 2:00 PM),8
23,Marketing,Starbucks_1,Espresso - Large Almond Milk,Morning,Fall,Medium - Regular - Extra Sweetener - None,Office_C,Starbucks_1,08-03-2025 07:36,08-03-2025 07:53,4,Late Afternoon (2:00 PM - 4:00 PM),6
24,HR,Starbucks_1,Cappuccino - Small Soy Milk,Morning,Fall,Large - Oat Milk - Sweetener - Flavored Syrup,Office_D,Starbucks_3,08-03-2025 08:58,08-03-2025 09:08,7,Morning Rush (8:00 AM - 10:00 AM),8
25,Operations,Starbucks_3,Latte - Medium Oat Milk,Afternoon,Winter,Small - Almond Milk - No Sugar - Extra Shot,Office_E,Starbucks_1,08-03-2025 12:48,08-03-2025 12:57,6,Afternoon (12:00 PM - 2:00 PM),7
26,Engineering,Starbucks_2,Mocha - Small Large,Afternoon,Summer,Small - Soy Milk - No Sugar - Extra Shot,Office_C,Starbucks_3,08-03-2025 13:18,08-03-2025 13:23,5,Afternoon (12:00 PM - 2:00 PM),7
27,HR,Starbucks_2,Iced Coffee - Soy Milk Oat Milk,Evening,Spring,Medium - Almond Milk - Regular Sugar - Flavored Syrup,Office_D,Starbucks_3,08-03-2025 16:50,08-03-2025 16:55,7,Late Afternoon (2:00 PM - 4:00 PM),9
28,Marketing,Starbucks_1,Mocha - Medium Large,Afternoon,Spring,Small - Regular - Regular Sugar - Extra Shot,Office_B,Starbucks_2,08-03-2025 13:10,08-03-2025 13:24,7,Afternoon (12:00 PM - 2:00 PM),9
29,Finance,Starbucks_3,Latte - Oat Milk Regular,Afternoon,Fall,Small - Regular - Sweetener - Extra Shot,Office_B,Starbucks_1,08-03-2025 13:53,08-03-2025 14:00,5,Afternoon (12:00 PM - 2:00 PM),7
30,Operations,Starbucks_1,Tea - Extra Shot Soy Milk,Afternoon,Winter,Small - Soy Milk - Extra Sweetener - None,Office_A,Starbucks_1,08-03-2025 13:47,08-03-2025 14:04,3,Afternoon (12:00 PM - 2:00 PM),4
31,HR,Starbucks_2,Espresso - No Sugar Medium,Evening,Fall,Medium - Soy Milk - Extra Sweetener - Flavored Syrup,Office_B,Starbucks_1,08-03-2025 17:23,08-03-2025 17:37,5,Late Afternoon (2:00 PM - 4:00 PM),6
32,Engineering,Starbucks_3,Latte - Extra Shot Almond Milk,Afternoon,Fall,Small - Almond Milk - Extra Sweetener - Extra Shot,Office_B,Starbucks_1,08-03-2025 12:27,08-03-2025 12:46,7,Afternoon (12:00 PM - 2:00 PM),9
33,Engineering,Starbucks_1,Espresso - Almond Milk Medium,Afternoon,Winter,Medium - Regular - Extra Sweetener - None,Office_A,Starbucks_2,08-03-2025 13:19,08-03-2025 13:29,4,Afternoon (12:00 PM - 2:00 PM),6
34,Sales,Starbucks_1,Tea - Soy Milk Almond Milk,Afternoon,Spring,Large - Soy Milk - Sweetener - Extra Shot,Office_D,Starbucks_3,08-03-2025 13:18,08-03-2025 13:23,7,Afternoon (12:00 PM - 2:00 PM),8
35,Sales,Starbucks_3,Tea - Large Regular,Afternoon,Winter,Small - Soy Milk - Sweetener - Flavored Syrup,Office_C,Starbucks_2,08-03-2025 12:48,08-03-2025 13:04,6,Afternoon (12:00 PM - 2:00 PM),7
36,Support,Starbucks_2,Cappuccino - Almond Milk Oat Milk,Evening,Summer,Large - Soy Milk - Regular Sugar - Extra Shot,Office_E,Starbucks_1,08-03-2025 17:45,08-03-2025 17:52,7,Late Afternoon (2:00 PM - 4:00 PM),9
37,Marketing,Starbucks_3,Tea - Large No Sugar,Morning,Summer,Medium - Soy Milk - Extra Sweetener - None,Office_E,Starbucks_1,08-03-2025 08:50,08-03-2025 08:58,5,Morning Rush (8:00 AM - 10:00 AM),7
38,HR,Starbucks_1,Latte - Large Medium,Evening,Spring,Medium - Soy Milk - Extra Sweetener - None,Office_A,Starbucks_1,08-03-2025 17:55,08-03-2025 18:12,4,Late Afternoon (2:00 PM - 4:00 PM),5
39,HR,Starbucks_1,Latte - Large Soy Milk,Morning,Summer,Small - Almond Milk - Regular Sugar - Extra Shot,Office_D,Starbucks_1,08-03-2025 07:08,08-03-2025 07:21,5,Late Afternoon (2:00 PM - 4:00 PM),7
40,Support,Starbucks_1,Mocha - Oat Milk Almond Milk,Morning,Summer,Medium - Oat Milk - Extra Sweetener - Extra Shot,Office_B,Starbucks_1,08-03-2025 07:48,08-03-2025 08:04,7,Late Afternoon (2:00 PM - 4:00 PM),9
41,Finance,Starbucks_1,Iced Coffee - No Sugar Regular,Evening,Summer,Medium - Soy Milk - Sweetener - Extra Shot,Office_D,Starbucks_2,08-03-2025 16:06,08-03-2025 16:20,5,Late Afternoon (2:00 PM - 4:00 PM),6
42,Finance,Starbucks_2,Espresso - Regular Oat Milk,Morning,Spring,Medium - Soy Milk - Sweetener - None,Office_A,Starbucks_2,08-03-2025 07:57,08-03-2025 08:09,4,Late Afternoon (2:00 PM - 4:00 PM),6
43,Support,Starbucks_2,Tea - Extra Shot Almond Milk,Afternoon,Spring,Small - Oat Milk - Regular Sugar - Flavored Syrup,Office_C,Starbucks_3,08-03-2025 12:06,08-03-2025 12:16,7,Afternoon (12:00 PM - 2:00 PM),9
44,Finance,Starbucks_1,Latte - Extra Shot Large,Afternoon,Spring,Large - Almond Milk - Extra Sweetener - Flavored Syrup,Office_B,Starbucks_3,08-03-2025 12:24,08-03-2025 12:30,7,Afternoon (12:00 PM - 2:00 PM),8
45,Sales,Starbucks_2,Tea - No Sugar Regular,Evening,Fall,Medium - Almond Milk - Regular Sugar - Flavored Syrup,Office_E,Starbucks_3,08-03-2025 16:28,08-03-2025 16:43,6,Late Afternoon (2:00 PM - 4:00 PM),8
46,HR,Starbucks_2,Cappuccino - Oat Milk Soy Milk,Morning,Winter,Large - Soy Milk - No Sugar - Extra Shot,Office_C,Starbucks_2,08-03-2025 09:11,08-03-2025 09:29,5,Morning Rush (8:00 AM - 10:00 AM),6
47,Support,Starbucks_2,Mocha - Medium Soy Milk,Afternoon,Summer,Large - Regular - No Sugar - Flavored Syrup,Office_B,Starbucks_1,08-03-2025 13:36,08-03-2025 13:55,7,Afternoon (12:00 PM - 2:00 PM),9
48,HR,Starbucks_1,Tea - Oat Milk Extra Shot,Evening,Winter,Medium - Soy Milk - Regular Sugar - Extra Shot,Office_B,Starbucks_2,08-03-2025 16:55,08-03-2025 17:09,6,Late Afternoon (2:00 PM - 4:00 PM),8
49,Engineering,Starbucks_3,Mocha - No Sugar Oat Milk,Evening,Winter,Medium - Almond Milk - Sweetener - None,Office_C,Starbucks_1,08-03-2025 16:46,08-03-2025 16:56,4,Late Afternoon (2:00 PM - 4:00 PM),5
50,Sales,Starbucks_3,Iced Coffee - Soy Milk Extra Shot,Morning,Fall,Medium - Regular - Extra Sweetener - Extra Shot,Office_E,Starbucks_2,08-03-2025 07:35,08-03-2025 07:53,5,Late Afternoon (2:00 PM - 4:00 PM),7
51,Operations,Starbucks_3,Espresso - Small Soy Milk,Morning,Winter,Small - Oat Milk - No Sugar - Extra Shot,Office_D,Starbucks_1,08-03-2025 07:23,08-03-2025 07:33,6,Late Afternoon (2:00 PM - 4:00 PM),7
52,Sales,Starbucks_1,Tea - Soy Milk Large,Evening,Summer,Medium - Oat Milk - Regular Sugar - Flavored Syrup,Office_D,Starbucks_2,08-03-2025 16:24,08-03-2025 16:34,6,Late Afternoon (2:00 PM - 4:00 PM),8
53,Support,Starbucks_2,Espresso - No Sugar Oat Milk,Morning,Fall,Medium - Regular - Extra Sweetener - None,Office_D,Starbucks_3,08-03-2025 07:24,08-03-2025 07:30,4,Late Afternoon (2:00 PM - 4:00 PM),5
54,Operations,Starbucks_2,Iced Coffee - Medium Regular,Afternoon,Summer,Small - Regular - No Sugar - Flavored Syrup,Office_D,Starbucks_2,08-03-2025 13:23,08-03-2025 13:42,5,Afternoon (12:00 PM - 2:00 PM),6
55,Engineering,Starbucks_1,Tea - Soy Milk Almond Milk,Evening,Spring,Medium - Almond Milk - Sweetener - Extra Shot,Office_C,Starbucks_2,08-03-2025 16:37,08-03-2025 16:53,6,Late Afternoon (2:00 PM - 4:00 PM),8
56,Support,Starbucks_1,Latte - Small Large,Evening,Fall,Large - Almond Milk - Regular Sugar - Extra Shot,Office_D,Starbucks_1,08-03-2025 16:40,08-03-2025 16:59,5,Late Afternoon (2:00 PM - 4:00 PM),6
57,Marketing,Starbucks_3,Coffee - Large Soy Milk,Evening,Spring,Small - Almond Milk - Regular Sugar - Flavored Syrup,Office_D,Starbucks_2,08-03-2025 16:18,08-03-2025 16:34,5,Late Afternoon (2:00 PM - 4:00 PM),7
58,HR,Starbucks_3,Coffee - Almond Milk Small,Evening,Winter,Small - Soy Milk - Extra Sweetener - Extra Shot,Office_B,Starbucks_3,08-03-2025 16:59,08-03-2025 17:17,5,Late Afternoon (2:00 PM - 4:00 PM),6
59,Engineering,Starbucks_1,Latte - Oat Milk Regular,Afternoon,Winter,Small - Almond Milk - No Sugar - None,Office_D,Starbucks_3,08-03-2025 13:25,08-03-2025 13:31,4,Afternoon (12:00 PM - 2:00 PM),6
60,HR,Starbucks_3,Latte - Almond Milk Medium,Morning,Summer,Large - Soy Milk - Regular Sugar - None,Office_A,Starbucks_3,08-03-2025 09:43,08-03-2025 09:49,5,Morning Rush (8:00 AM - 10:00 AM),7
61,Finance,Starbucks_2,Cappuccino - Extra Shot Medium,Morning,Fall,Medium - Oat Milk - No Sugar - Extra Shot,Office_D,Starbucks_3,08-03-2025 07:20,08-03-2025 07:29,5,Late Afternoon (2:00 PM - 4:00 PM),7
62,Marketing,Starbucks_1,Iced Coffee - No Sugar Regular,Morning,Fall,Small - Almond Milk - No Sugar - Flavored Syrup,Office_B,Starbucks_2,08-03-2025 09:00,08-03-2025 09:05,6,Morning Rush (8:00 AM - 10:00 AM),7
63,Marketing,Starbucks_1,Latte - Large Regular,Morning,Fall,Small - Oat Milk - Extra Sweetener - None,Office_C,Starbucks_2,08-03-2025 07:52,08-03-2025 08:07,3,Late Afternoon (2:00 PM - 4:00 PM),5
64,Engineering,Starbucks_2,Cappuccino - Soy Milk Oat Milk,Morning,Fall,Medium - Soy Milk - Extra Sweetener - None,Office_A,Starbucks_2,08-03-2025 09:22,08-03-2025 09:35,5,Morning Rush (8:00 AM - 10:00 AM),7
65,Marketing,Starbucks_2,Latte - Medium Small,Evening,Winter,Large - Regular - Extra Sweetener - None,Office_B,Starbucks_1,08-03-2025 17:34,08-03-2025 17:49,5,Late Afternoon (2:00 PM - 4:00 PM),6
66,Operations,Starbucks_2,Latte - Medium Almond Milk,Morning,Winter,Large - Oat Milk - Extra Sweetener - Flavored Syrup,Office_C,Starbucks_2,08-03-2025 08:49,08-03-2025 09:01,6,Morning Rush (8:00 AM - 10:00 AM),7
67,Marketing,Starbucks_3,Espresso - Soy Milk Regular,Evening,Spring,Small - Regular - Sweetener - Flavored Syrup,Office_A,Starbucks_3,08-03-2025 16:41,08-03-2025 16:46,6,Late Afternoon (2:00 PM - 4:00 PM),7
68,HR,Starbucks_1,Coffee - Small No Sugar,Morning,Spring,Medium - Regular - Regular Sugar - Extra Shot,Office_B,Starbucks_2,08-03-2025 09:37,08-03-2025 09:48,6,Morning Rush (8:00 AM - 10:00 AM),7
69,HR,Starbucks_3,Coffee - Oat Milk Extra Shot,Afternoon,Fall,Small - Oat Milk - Extra Sweetener - Extra Shot,Office_A,Starbucks_2,08-03-2025 13:42,08-03-2025 13:58,6,Afternoon (12:00 PM - 2:00 PM),8
70,Support,Starbucks_2,Coffee - Small Extra Shot,Afternoon,Spring,Large - Soy Milk - Sweetener - None,Office_D,Starbucks_1,08-03-2025 13:05,08-03-2025 13:19,4,Afternoon (12:00 PM - 2:00 PM),5
71,HR,Starbucks_3,Latte - Almond Milk No Sugar,Afternoon,Summer,Small - Regular - Regular Sugar - Extra Shot,Office_A,Starbucks_3,08-03-2025 13:48,08-03-2025 13:57,7,Afternoon (12:00 PM - 2:00 PM),9
72,Support,Starbucks_2,Tea - Almond Milk Medium,Morning,Winter,Small - Oat Milk - Sweetener - Flavored Syrup,Office_D,Starbucks_2,08-03-2025 07:26,08-03-2025 07:35,6,Late Afternoon (2:00 PM - 4:00 PM),7
73,HR,Starbucks_3,Latte - Oat Milk Soy Milk,Morning,Summer,Medium - Regular - Sweetener - Flavored Syrup,Office_D,Starbucks_3,08-03-2025 07:11,08-03-2025 07:25,5,Late Afternoon (2:00 PM - 4:00 PM),7
74,Operations,Starbucks_3,Tea - Soy Milk Regular,Morning,Spring,Large - Regular - Extra Sweetener - None,Office_A,Starbucks_1,08-03-2025 08:49,08-03-2025 09:04,4,Morning Rush (8:00 AM - 10:00 AM),6
75,Support,Starbucks_2,Iced Coffee - Regular Extra Shot,Morning,Winter,Small - Almond Milk - Extra Sweetener - None,Office_D,Starbucks_3,08-03-2025 07:03,08-03-2025 07:10,4,Late Afternoon (2:00 PM - 4:00 PM),5
76,Sales,Starbucks_3,Tea - Soy Milk Large,Morning,Spring,Large - Soy Milk - Extra Sweetener - Flavored Syrup,Office_D,Starbucks_2,08-03-2025 07:50,08-03-2025 07:56,5,Late Afternoon (2:00 PM - 4:00 PM),6
77,Finance,Starbucks_1,Coffee - Large No Sugar,Afternoon,Winter,Medium - Regular - Extra Sweetener - None,Office_E,Starbucks_1,08-03-2025 12:16,08-03-2025 12:28,5,Afternoon (12:00 PM - 2:00 PM),7
78,Engineering,Starbucks_3,Mocha - Extra Shot Oat Milk,Morning,Spring,Large - Regular - Extra Sweetener - Extra Shot,Office_D,Starbucks_2,08-03-2025 09:22,08-03-2025 09:35,6,Morning Rush (8:00 AM - 10:00 AM),7
79,HR,Starbucks_3,Mocha - Almond Milk Regular,Evening,Summer,Medium - Almond Milk - Regular Sugar - Flavored Syrup,Office_A,Starbucks_3,08-03-2025 17:57,08-03-2025 18:12,7,Late Afternoon (2:00 PM - 4:00 PM),9
80,Marketing,Starbucks_1,Iced Coffee - Almond Milk Oat Milk,Morning,Summer,Medium - Soy Milk - No Sugar - None,Office_C,Starbucks_3,08-03-2025 09:18,08-03-2025 09:27,5,Morning Rush (8:00 AM - 10:00 AM),7
81,HR,Starbucks_2,Iced Coffee - Large Soy Milk,Afternoon,Winter,Small - Almond Milk - Sweetener - Extra Shot,Office_C,Starbucks_1,08-03-2025 13:24,08-03-2025 13:40,5,Afternoon (12:00 PM - 2:00 PM),6
82,Marketing,Starbucks_1,Cappuccino - Extra Shot Medium,Afternoon,Fall,Large - Almond Milk - No Sugar - None,Office_A,Starbucks_1,08-03-2025 12:38,08-03-2025 12:44,4,Afternoon (12:00 PM - 2:00 PM),6
83,Finance,Starbucks_3,Iced Coffee - Large Soy Milk,Morning,Spring,Small - Regular - Sweetener - Flavored Syrup,Office_C,Starbucks_3,08-03-2025 08:24,08-03-2025 08:29,7,Morning Rush (8:00 AM - 10:00 AM),9
84,Finance,Starbucks_2,Espresso - Regular No Sugar,Morning,Spring,Medium - Soy Milk - No Sugar - Extra Shot,Office_D,Starbucks_1,08-03-2025 07:36,08-03-2025 07:44,7,Late Afternoon (2:00 PM - 4:00 PM),9
85,Finance,Starbucks_3,Iced Coffee - No Sugar Oat Milk,Morning,Fall,Medium - Regular - Sweetener - None,Office_C,Starbucks_2,08-03-2025 09:02,08-03-2025 09:12,4,Morning Rush (8:00 AM - 10:00 AM),6
86,Marketing,Starbucks_3,Espresso - Oat Milk Large,Afternoon,Spring,Medium - Almond Milk - Extra Sweetener - None,Office_E,Starbucks_1,08-03-2025 12:40,08-03-2025 12:54,4,Afternoon (12:00 PM - 2:00 PM),6
87,HR,Starbucks_1,Tea - Regular Extra Shot,Afternoon,Summer,Small - Soy Milk - Regular Sugar - Flavored Syrup,Office_A,Starbucks_2,08-03-2025 12:04,08-03-2025 12:09,6,Afternoon (12:00 PM - 2:00 PM),7
88,Finance,Starbucks_1,Cappuccino - Almond Milk No Sugar,Morning,Winter,Large - Regular - No Sugar - Extra Shot,Office_B,Starbucks_2,08-03-2025 08:31,08-03-2025 08:36,6,Morning Rush (8:00 AM - 10:00 AM),7
89,Operations,Starbucks_2,Cappuccino - Large Small,Afternoon,Winter,Large - Soy Milk - No Sugar - None,Office_D,Starbucks_3,08-03-2025 13:21,08-03-2025 13:33,4,Afternoon (12:00 PM - 2:00 PM),5
90,Support,Starbucks_2,Espresso - Soy Milk Large,Afternoon,Spring,Medium - Oat Milk - Regular Sugar - Flavored Syrup,Office_C,Starbucks_3,08-03-2025 12:21,08-03-2025 12:39,5,Afternoon (12:00 PM - 2:00 PM),7
91,Marketing,Starbucks_2,Tea - Regular Large,Morning,Spring,Large - Almond Milk - Regular Sugar - Extra Shot,Office_B,Starbucks_3,08-03-2025 09:19,08-03-2025 09:32,5,Morning Rush (8:00 AM - 10:00 AM),6
92,Marketing,Starbucks_3,Cappuccino - Small Medium,Morning,Spring,Large - Almond Milk - Sweetener - None,Office_E,Starbucks_2,08-03-2025 07:18,08-03-2025 07:35,4,Late Afternoon (2:00 PM - 4:00 PM),6
93,HR,Starbucks_1,Mocha - Small Oat Milk,Afternoon,Winter,Small - Regular - Regular Sugar - None,Office_C,Starbucks_3,08-03-2025 13:36,08-03-2025 13:52,3,Afternoon (12:00 PM - 2:00 PM),4
94,Marketing,Starbucks_1,Tea - Regular Medium,Morning,Fall,Medium - Oat Milk - Regular Sugar - Extra Shot,Office_E,Starbucks_3,08-03-2025 07:17,08-03-2025 07:35,5,Late Afternoon (2:00 PM - 4:00 PM),7
95,Marketing,Starbucks_1,Tea - Large Regular,Morning,Winter,Small - Almond Milk - Sweetener - None,Office_D,Starbucks_1,08-03-2025 09:58,08-03-2025 10:06,3,Morning Rush (8:00 AM - 10:00 AM),4
96,Finance,Starbucks_2,Iced Coffee - Extra Shot Soy Milk,Afternoon,Fall,Large - Soy Milk - Regular Sugar - Flavored Syrup,Office_D,Starbucks_2,08-03-2025 12:06,08-03-2025 12:11,5,Afternoon (12:00 PM - 2:00 PM),6
97,HR,Starbucks_1,Tea - Regular No Sugar,Evening,Summer,Medium - Oat Milk - No Sugar - None,Office_A,Starbucks_2,08-03-2025 17:33,08-03-2025 17:50,5,Late Afternoon (2:00 PM - 4:00 PM),7
98,Finance,Starbucks_1,Cappuccino - Oat Milk Large,Evening,Winter,Large - Oat Milk - Sweetener - Extra Shot,Office_A,Starbucks_2,08-03-2025 17:59,08-03-2025 18:07,6,Late Afternoon (2:00 PM - 4:00 PM),7
99,Support,Starbucks_1,Mocha - Medium Oat Milk,Evening,Winter,Small - Oat Milk - Extra Sweetener - Extra Shot,Office_A,Starbucks_2,08-03-2025 17:02,08-03-2025 17:19,7,Late Afternoon (2:00 PM - 4:00 PM),8
100,Support,Starbucks_2,Espresso - Medium Regular,Afternoon,Summer,Large - Oat Milk - Regular Sugar - None,Office_C,Starbucks_3,08-03-2025 12:52,08-03-2025 12:57,4,Afternoon (12:00 PM - 2:00 PM),6
101,Finance,Starbucks_1,Cappuccino - Medium Extra Shot,Evening,Winter,Medium - Oat Milk - Sweetener - None,Office_D,Starbucks_1,08-03-2025 17:32,08-03-2025 17:51,4,Late Afternoon (2:00 PM - 4:00 PM),6
102,Support,Starbucks_2,Cappuccino - Oat Milk Almond Milk,Evening,Fall,Large - Soy Milk - No Sugar - Flavored Syrup,Office_C,Starbucks_2,08-03-2025 16:24,08-03-2025 16:43,7,Late Afternoon (2:00 PM - 4:00 PM),8
103,HR,Starbucks_1,Iced Coffee - Soy Milk Regular,Afternoon,Winter,Small - Regular - Extra Sweetener - Flavored Syrup,Office_C,Starbucks_3,08-03-2025 12:21,08-03-2025 12:32,5,Afternoon (12:00 PM - 2:00 PM),7
104,Engineering,Starbucks_1,Iced Coffee - Extra Shot Medium,Morning,Spring,Large - Soy Milk - Sweetener - Extra Shot,Office_B,Starbucks_2,08-03-2025 08:26,08-03-2025 08:31,5,Morning Rush (8:00 AM - 10:00 AM),6
105,Finance,Starbucks_1,Espresso - Almond Milk Medium,Afternoon,Summer,Large - Almond Milk - Sweetener - Flavored Syrup,Office_C,Starbucks_2,08-03-2025 13:24,08-03-2025 13:43,7,Afternoon (12:00 PM - 2:00 PM),8
106,Operations,Starbucks_2,Iced Coffee - Medium Extra Shot,Morning,Fall,Large - Almond Milk - Sweetener - None,Office_E,Starbucks_2,08-03-2025 07:23,08-03-2025 07:30,4,Late Afternoon (2:00 PM - 4:00 PM),5
107,Operations,Starbucks_2,Tea - Oat Milk Small,Morning,Spring,Small - Almond Milk - No Sugar - Flavored Syrup,Office_D,Starbucks_2,08-03-2025 09:18,08-03-2025 09:29,6,Morning Rush (8:00 AM - 10:00 AM),7
108,Marketing,Starbucks_1,Iced Coffee - Regular Large,Morning,Summer,Small - Oat Milk - Regular Sugar - Extra Shot,Office_C,Starbucks_1,08-03-2025 07:09,08-03-2025 07:19,7,Late Afternoon (2:00 PM - 4:00 PM),8
109,Support,Starbucks_3,Tea - Medium Oat Milk,Evening,Summer,Large - Oat Milk - No Sugar - None,Office_C,Starbucks_2,08-03-2025 16:18,08-03-2025 16:37,5,Late Afternoon (2:00 PM - 4:00 PM),7
110,Operations,Starbucks_2,Espresso - Extra Shot Small,Afternoon,Fall,Medium - Soy Milk - Extra Sweetener - None,Office_A,Starbucks_1,08-03-2025 13:39,08-03-2025 13:51,5,Afternoon (12:00 PM - 2:00 PM),7
111,Marketing,Starbucks_2,Mocha - Extra Shot Large,Morning,Winter,Small - Soy Milk - No Sugar - None,Office_A,Starbucks_2,08-03-2025 07:23,08-03-2025 07:36,4,Late Afternoon (2:00 PM - 4:00 PM),5
112,Engineering,Starbucks_1,Latte - Small Medium,Afternoon,Spring,Small - Soy Milk - Regular Sugar - None,Office_E,Starbucks_1,08-03-2025 12:01,08-03-2025 12:20,3,Afternoon (12:00 PM - 2:00 PM),4
113,HR,Starbucks_3,Tea - Extra Shot No Sugar,Afternoon,Summer,Small - Almond Milk - No Sugar - Extra Shot,Office_C,Starbucks_2,08-03-2025 13:44,08-03-2025 13:54,6,Afternoon (12:00 PM - 2:00 PM),8
114,HR,Starbucks_1,Tea - No Sugar Medium,Afternoon,Summer,Small - Regular - Sweetener - Flavored Syrup,Office_B,Starbucks_3,08-03-2025 12:48,08-03-2025 12:59,5,Afternoon (12:00 PM - 2:00 PM),7
